pnum,qualitative,concave,noChange,accuracy,RT
1,0,0,1,1,1.0799
1,0,0,1,1,0.52018
1,0,1,0,1,0.82661
1,1,0,0,1,0.78636
1,0,0,1,1,0.49304
1,1,0,0,1,0.50664
1,0,0,1,1,1.0795
1,0,0,0,1,0.6267
1,1,1,0,0,1.5995
1,0,0,1,1,0.60008
1,0,0,1,1,0.51984
1,0,0,1,1,0.4932
1,1,0,0,0,0.60005
1,1,1,0,0,0.45342
1,0,0,0,0,0.54657
1,1,0,0,1,0.5871
1,0,1,0,1,0.49335
1,1,1,0,1,0.55983
1,0,0,1,0,0.66643
1,1,1,0,1,0.6531
1,1,1,0,0,0.79957
1,0,1,0,1,0.51983
1,1,0,0,1,0.58648
1,0,0,1,1,0.74638
1,0,0,0,0,0.86628
1,0,0,1,1,0.53315
1,0,0,0,0,1.2928
1,0,0,0,0,0.45297
1,0,0,1,1,0.45321
1,0,0,1,1,0.97293
1,0,0,1,1,0.5998
1,1,1,0,0,0.64003
1,0,0,1,1,0.99994
1,0,0,1,1,0.86632
1,1,0,0,0,0.29329
1,0,0,1,0,0.5998
1,0,1,0,1,0.45321
1,0,0,1,1,0.59981
1,1,1,0,1,0.62614
1,0,0,1,1,0.58647
1,0,0,1,1,1.1861
1,1,0,0,1,0.45411
1,1,1,0,1,0.5196
1,0,0,1,0,0.50662
1,0,0,1,1,0.59952
1,0,0,1,1,0.3466
1,0,0,1,1,0.51984
1,1,1,0,1,0.69314
1,0,0,0,1,0.69333
1,0,0,1,1,0.89297
1,0,0,1,1,0.78635
1,0,0,1,1,0.74639
1,0,0,0,0,0.35992
1,0,0,1,1,0.52006
1,1,0,0,0,0.61345
1,0,0,1,0,1.0929
1,0,0,1,1,0.89297
1,0,0,1,1,0.82626
1,0,0,1,1,0.77341
1,1,0,0,1,0.98626
1,0,0,1,1,0.45321
1,0,0,1,0,0.69338
1,0,0,1,1,1.4927
1,0,0,0,0,0.61312
1,0,1,0,1,0.65313
1,0,0,1,1,0.55982
1,0,0,1,1,0.5998
1,0,0,1,0,0.90629
1,0,0,1,1,0.71973
1,0,1,0,1,0.79976
1,0,0,0,1,0.93287
1,0,0,1,1,0.78635
1,0,0,0,1,0.79969
1,0,0,1,0,0.65364
1,0,0,1,1,0.57316
1,0,0,0,1,0.89323
1,0,0,0,0,0.33328
1,1,1,0,0,0.86632
1,0,0,0,0,0.46654
1,0,0,1,1,0.70641
1,1,1,0,0,0.94629
1,0,1,0,1,0.45321
1,1,1,0,1,0.82634
1,0,0,1,0,0.57345
1,0,0,1,1,0.62628
1,0,0,1,1,0.49319
1,0,0,1,1,0.54649
1,0,1,0,0,2.0387
1,0,0,0,1,0.41324
1,1,1,0,0,0.58647
1,0,0,1,1,0.71974
1,0,0,1,1,0.6531
1,0,1,0,1,0.90629
1,0,0,0,1,0.63977
1,0,0,1,1,0.75971
1,0,1,0,1,0.45321
1,0,0,1,0,1.1998
1,0,0,0,0,0.51952
1,0,0,1,1,1.1728
1,0,0,1,1,1.4792
1,0,0,0,1,0.45366
1,1,0,0,0,1.0662
1,1,0,0,0,0.79969
1,0,0,0,1,0.59981
1,0,0,1,0,0.7064
1,0,1,0,1,0.43988
1,0,0,1,1,0.62645
1,0,0,0,0,0.41325
1,0,0,1,0,0.77302
1,1,1,0,1,0.59948
1,1,1,0,0,0.89326
1,1,0,0,1,0.85299
1,0,1,0,1,0.67976
1,0,0,0,1,0.71992
1,0,0,1,1,0.93295
1,1,0,0,0,1.5461
1,0,0,1,1,0.26664
1,0,0,1,1,0.35992
1,1,1,0,0,0.6531
1,0,0,0,1,0.70609
1,1,1,0,1,2.3187
1,0,0,1,1,0.62645
1,0,0,0,1,0.53317
1,1,0,0,0,0.48019
1,0,0,1,1,0.77324
1,0,0,1,0,0.64004
1,0,0,1,1,0.77331
1,0,0,1,1,0.50652
1,0,0,1,0,0.71978
1,1,0,0,0,0.60013
1,0,0,1,1,0.93261
1,0,0,1,1,0.45336
1,0,0,1,1,0.83966
1,0,1,0,1,0.5998
1,0,0,1,1,1.4793
1,0,0,1,1,0.63998
1,0,0,1,1,0.7597
1,0,0,1,0,0.66643
1,0,1,0,1,0.5998
1,0,0,1,1,0.46654
1,0,0,1,1,0.38667
1,1,1,0,1,0.55983
1,1,0,0,0,0.79969
1,1,1,0,0,0.66643
1,0,0,1,0,0.72001
1,1,0,0,1,0.49319
1,0,0,1,1,0.7729
1,0,0,1,0,0.78619
1,0,0,1,1,0.853
1,0,0,1,1,0.83967
1,0,0,1,1,0.66643
1,0,0,1,1,0.50673
1,1,1,0,1,0.58646
1,0,0,1,1,1.266
1,0,0,0,1,0.62644
1,0,0,1,0,0.61343
1,0,0,0,1,0.33329
1,0,0,1,1,0.86665
1,0,0,1,1,0.6662
1,0,0,1,1,0.43787
1,1,0,0,0,1.0396
1,0,0,1,1,1.3594
1,0,0,0,1,1.1464
1,0,0,1,0,0.49319
1,0,1,0,1,0.40094
1,0,1,0,0,0.51984
1,0,0,1,1,0.63977
1,0,0,1,1,1.0532
1,0,0,1,1,1.3192
1,0,1,0,0,0.53317
1,1,0,0,1,0.79969
1,1,0,0,0,0.50669
1,0,1,0,1,0.66674
1,0,0,1,1,0.53315
1,0,0,1,1,1.3194
1,0,0,1,1,2.8922
1,1,1,0,0,1.7993
1,0,1,0,1,0.7064
1,0,0,0,0,0.59987
1,0,0,0,1,0.94627
1,0,0,1,1,0.34661
1,0,0,0,0,0.77338
1,0,0,1,1,0.66646
1,1,1,0,1,0.83967
1,0,0,1,1,3.2121
1,0,0,1,1,1.2128
1,0,0,1,1,6.4367
1,1,1,0,0,1.2928
1,0,1,0,1,0.83967
1,0,0,1,0,0.67975
1,0,0,1,1,0.72043
1,1,1,0,1,0.61317
1,0,1,0,1,0.5998
1,0,0,1,1,0.83967
1,0,1,0,1,0.36008
1,0,1,0,1,0.82635
1,0,0,1,1,0.78666
1,0,0,0,1,0.50686
1,0,0,0,0,1.0529
1,0,0,0,0,0.61312
1,0,0,0,1,0.54649
1,0,0,1,1,0.61291
1,1,0,0,1,0.66643
1,0,0,0,1,0.64004
1,0,0,1,1,0.5867
1,0,0,1,0,0.61324
1,0,1,0,1,0.49327
1,1,0,0,1,0.57314
1,1,1,0,1,0.45321
1,1,1,0,0,0.71972
1,0,0,1,1,0.85337
1,1,1,0,1,0.81302
1,1,1,0,0,0.70664
1,0,0,1,0,0.51984
1,0,1,0,1,0.99958
1,0,0,1,1,0.74639
1,0,0,1,0,0.9596
1,0,0,1,1,0.61336
1,0,0,1,1,0.41323
1,0,0,1,1,1.386
1,0,0,1,1,0.61312
1,0,0,1,1,0.44008
1,1,1,0,1,0.54651
1,0,0,1,1,0.74628
1,0,0,1,0,0.79959
1,0,0,1,1,1.466
1,0,0,1,1,0.63977
1,0,1,0,1,0.61312
1,0,0,1,0,0.61312
1,0,0,1,0,0.6531
1,0,1,0,1,0.74669
1,0,0,0,0,0.73285
1,0,0,0,1,0.46653
1,1,1,0,1,0.64004
1,1,1,0,1,0.77303
1,0,1,0,1,1.8258
1,0,1,0,1,0.2933
1,0,0,1,0,0.53318
1,0,0,1,1,0.66643
1,0,0,1,1,0.78637
1,1,1,0,1,0.59982
1,1,1,0,1,0.71973
1,0,0,1,1,0.51985
1,1,0,0,0,1.7592
1,1,1,0,1,1.8261
1,0,1,0,1,2.0257
1,1,0,0,1,1.2528
1,1,0,0,0,0.99958
1,1,1,0,0,1.1062
1,1,1,0,0,1.5593
1,0,0,1,1,0.53299
1,0,0,1,1,0.94661
1,1,1,0,1,1.1595
1,0,0,1,0,1.999
1,0,0,1,1,1.3064
1,1,1,0,1,0.41323
1,0,0,1,0,0.97327
1,0,0,1,1,1.2664
1,0,1,0,1,0.58659
1,0,0,0,1,1.4801
1,0,1,0,1,0.88002
1,1,1,0,0,0.5998
1,1,1,0,0,0.59981
1,0,0,1,0,0.70668
1,1,1,0,0,0.73374
1,0,0,1,0,0.70593
1,0,0,1,1,0.74666
1,0,0,1,0,0.69339
1,0,0,1,0,1.1194
1,0,0,1,1,0.32068
1,0,0,1,1,0.42656
1,0,0,1,1,0.65309
1,0,0,1,1,0.78636
1,0,0,1,0,0.43987
1,0,0,1,0,0.73305
1,1,1,0,0,1.0398
1,0,1,0,0,0.63977
1,0,0,1,1,0.86632
1,0,1,0,0,0.62645
1,0,0,1,1,0.42655
1,1,0,0,0,0.81302
1,0,0,1,1,0.48006
1,0,1,0,1,0.60017
1,0,0,0,1,0.43989
1,0,0,1,1,0.99958
1,1,0,0,0,0.62677
1,0,0,1,1,0.82634
1,0,0,1,1,0.43962
1,0,1,0,0,0.56014
1,0,0,0,1,0.70642
1,0,1,0,1,0.61313
1,1,0,0,0,1.9457
1,0,0,1,1,0.50652
1,0,0,1,1,0.6667
1,0,0,0,0,1.8389
1,0,1,0,0,0.66643
1,0,0,1,0,0.51996
1,0,0,0,0,0.62645
1,1,1,0,1,0.55982
1,0,0,1,0,0.5337
1,0,0,1,1,0.58646
1,0,0,0,0,0.98645
1,0,0,1,1,0.71973
1,0,1,0,1,0.46674
1,1,0,0,0,0.89297
1,0,0,1,1,0.62645
1,0,0,1,1,0.71943
1,0,1,0,1,0.55988
1,0,1,0,1,0.85302
1,0,0,1,1,0.49319
1,0,0,1,0,1.1861
1,0,0,1,1,0.79968
1,0,0,1,1,0.69327
1,1,0,0,0,0.91996
1,0,0,1,1,0.3466
1,0,0,0,1,0.97291
1,0,0,1,1,0.42712
1,0,0,0,0,0.67976
1,0,0,1,1,0.69308
1,0,0,1,1,0.82642
1,0,0,1,1,1.9324
1,0,0,1,1,0.59979
1,0,0,0,1,0.42671
1,1,1,0,1,0.50652
1,1,1,0,1,0.77303
1,0,0,1,1,0.50648
1,1,0,0,1,0.61353
1,1,0,0,0,0.7597
1,0,0,0,1,0.54621
1,0,0,0,0,0.57315
1,0,1,0,1,0.61312
1,1,1,0,0,0.87964
1,1,1,0,1,0.65332
1,1,1,0,1,0.81301
1,0,1,0,1,1.4127
1,0,1,0,1,0.61313
1,0,1,0,1,0.55971
1,0,0,1,1,0.65341
1,1,1,0,0,0.58635
1,0,1,0,0,0.51984
1,0,0,1,1,1.7059
1,0,0,1,1,0.65285
1,1,1,0,1,1.4793
1,0,0,0,0,1.7325
1,0,1,0,1,0.56
1,1,1,0,1,0.33362
1,1,0,0,1,0.59933
1,0,0,0,1,0.53297
1,1,1,0,1,0.54662
1,1,1,0,0,0.59981
1,0,0,1,1,0.85335
1,0,0,1,1,0.50652
1,0,0,1,1,0.62644
1,1,0,0,0,1.1999
1,0,0,1,1,0.69308
1,1,1,0,1,0.53317
1,0,0,1,1,0.71973
1,1,0,0,0,0.5595
1,0,1,0,1,0.78636
1,0,0,1,1,1.1995
1,0,0,0,1,0.58659
1,0,0,0,0,0.50652
1,0,0,0,0,0.57354
1,1,1,0,1,0.78657
1,0,0,1,1,0.84027
1,1,0,0,0,0.54649
1,0,0,1,0,0.89329
1,0,0,0,1,0.75971
1,1,1,0,1,0.51984
1,0,1,0,1,0.70641
1,0,0,1,1,0.51953
1,0,1,0,1,0.57314
1,0,0,1,1,0.82633
1,0,1,0,1,0.58648
1,0,0,1,1,0.71973
1,0,0,0,0,0.54649
1,0,0,1,1,1.426
1,0,0,1,1,0.54649
1,0,0,1,1,0.73316
1,0,0,1,1,0.71977
1,0,0,1,1,0.38659
1,0,0,1,0,1.0799
1,0,0,1,1,1.6792
1,1,1,0,0,0.69351
1,1,0,0,0,1.4393
1,1,0,0,0,1.466
1,0,0,1,0,0.3999
1,0,0,1,1,0.85352
1,0,0,0,1,0.46653
1,0,1,0,1,0.53317
1,0,0,1,1,0.74639
1,1,0,0,0,0.73272
1,0,0,1,1,0.9601
1,0,0,0,1,0.74637
1,1,1,0,1,0.98625
1,0,0,1,1,0.82675
1,0,0,1,1,0.4403
1,0,1,0,1,0.62617
1,0,1,0,1,0.61323
1,0,0,0,1,0.57315
1,0,0,1,1,0.94616
1,0,1,0,1,0.51984
1,1,0,0,0,0.86632
1,1,1,0,0,2.0657
1,1,0,0,0,0.53283
1,1,1,0,0,0.81301
1,1,0,0,0,1.9197
1,0,0,1,1,1.1194
1,1,1,0,1,1.2797
1,1,1,0,1,0.74606
1,0,0,1,1,1.0396
1,1,1,0,1,0.50678
1,0,0,1,1,0.47986
1,1,0,0,0,0.58683
1,0,0,1,1,0.57397
1,0,0,1,1,1.7458
1,0,0,0,0,0.90629
1,0,0,0,1,0.47987
1,0,1,0,1,0.49319
1,0,0,1,1,2.812
1,1,0,0,0,0.55999
1,1,0,0,0,0.73305
1,0,0,0,0,0.5998
1,1,1,0,1,0.59979
1,0,0,1,1,1.0666
1,0,0,0,0,0.50676
1,0,0,1,1,1.1728
1,0,0,1,0,0.63966
1,0,0,1,1,1.1195
1,0,0,1,1,0.70638
1,0,1,0,1,0.54712
1,1,0,0,1,0.49319
1,1,0,0,1,1.4925
1,0,0,1,1,0.79969
1,0,0,0,0,0.97292
1,0,0,1,1,0.2933
1,0,0,1,1,0.66684
1,1,0,0,0,0.61313
1,0,0,1,1,1.0262
1,0,0,1,1,0.65282
1,0,0,1,1,1.4259
1,1,0,0,1,0.79975
1,0,0,1,1,0.57314
1,0,0,1,1,0.70706
1,0,0,0,0,0.38658
1,1,1,0,0,1.0129
1,0,0,1,1,0.69343
1,0,0,1,1,0.46655
1,0,0,1,1,0.7064
1,0,0,1,1,0.77303
1,0,1,0,0,0.89297
1,0,0,1,1,0.54649
1,0,0,1,1,0.85299
1,0,0,1,1,1.6126
1,0,0,1,1,1.2528
1,1,0,0,1,0.92003
1,1,0,0,1,0.5195
1,0,0,1,0,1.2668
1,1,0,0,0,0.50652
1,0,0,1,1,0.60054
1,0,1,0,0,0.50651
1,0,0,1,1,0.91986
1,0,0,1,0,0.69338
1,1,1,0,0,0.93295
1,0,0,1,1,0.57315
1,1,0,0,1,0.38657
1,1,1,0,0,0.41298
1,0,0,1,1,0.60045
1,1,0,0,0,0.7064
1,0,0,1,1,0.78637
2,0,0,1,1,0.53319
2,1,0,0,0,1.7194
2,0,0,1,1,0.58648
2,1,0,0,0,1.1462
2,1,0,0,1,1.2794
2,0,0,1,0,0.70641
2,0,1,0,1,0.45324
2,0,1,0,1,0.39992
2,0,0,1,1,0.78636
2,0,0,1,0,0.4
2,0,0,1,1,0.43988
2,0,0,1,0,0.34658
2,0,0,1,1,0.66646
2,1,0,0,0,0.5065
2,0,0,1,0,0.78669
2,0,1,0,1,0.7597
2,0,0,1,0,0.63977
2,0,0,1,1,0.70639
2,0,0,1,1,0.46653
2,0,0,0,0,0.32015
2,0,1,0,1,0.63977
2,0,0,1,1,0.41323
2,0,0,1,1,0.27998
2,0,1,0,0,0.51984
2,0,0,1,1,0.78635
2,0,0,1,1,0.81309
2,0,0,1,0,1.5725
2,0,0,1,1,0.93295
2,1,0,0,1,0.78636
2,1,1,0,0,0.94614
2,0,0,1,1,0.50651
2,0,0,0,1,0.55981
2,1,1,0,0,0.77303
2,0,1,0,1,0.38657
2,0,1,0,1,0.63996
2,0,0,1,0,0.57314
2,1,1,0,1,1.1595
2,0,1,0,1,0.31994
2,0,0,1,1,0.67975
2,1,1,0,0,0.66662
2,1,1,0,0,1.2659
2,0,0,1,0,1.906
2,0,1,0,1,0.49335
2,0,0,1,1,0.85299
2,0,0,1,0,0.82634
2,0,0,1,1,0.47992
2,1,0,0,0,0.51983
2,1,1,0,1,0.86626
2,0,0,1,0,0.42655
2,0,0,1,1,1.5459
2,0,0,0,1,0.82634
2,0,0,1,1,1.0396
2,0,0,1,1,0.47958
2,0,0,1,1,0.54644
2,1,1,0,1,0.46686
2,0,0,0,1,0.65327
2,0,0,1,1,1.5593
2,0,0,1,1,0.68028
2,0,0,1,1,0.69319
2,0,0,0,0,0.53315
2,0,0,0,1,0.57315
2,0,0,1,1,0.66644
2,0,0,1,0,0.74636
2,0,1,0,1,0.51984
2,1,1,0,0,0.73305
2,0,0,0,1,0.6799
2,1,1,0,1,1.0262
2,0,1,0,0,0.82655
2,1,0,0,1,2.6387
2,0,0,1,1,0.55954
2,0,1,0,0,0.5998
2,0,0,1,1,0.42654
2,0,0,1,1,0.67999
2,1,1,0,0,1.3464
2,0,1,0,1,0.53316
2,0,0,1,1,0.60009
2,0,0,1,1,0.54649
2,1,1,0,1,0.69307
2,0,0,1,1,0.85298
2,1,0,0,1,0.89292
2,0,0,1,1,0.51983
2,1,0,0,0,0.6531
2,0,1,0,0,0.53328
2,1,1,0,0,0.71966
2,0,0,1,1,1.7991
2,0,0,1,1,0.51997
2,0,0,1,1,0.61311
2,0,0,1,1,0.57314
2,0,0,1,1,0.82666
2,0,0,0,1,1.2129
2,1,0,0,0,0.43988
2,0,0,1,1,0.53316
2,0,0,1,1,0.57316
2,0,0,1,1,0.78635
2,0,0,1,1,0.51949
2,0,0,1,1,0.70651
2,0,0,1,1,1.1195
2,1,0,0,0,0.67973
2,0,0,1,1,0.7067
2,1,0,0,1,0.54648
2,1,0,0,0,1.0262
2,0,0,1,1,0.86632
2,1,0,0,0,1.5726
2,0,0,1,1,0.49318
2,1,1,0,0,0.86634
2,1,1,0,0,1.1195
2,0,1,0,0,0.9196
2,1,0,0,1,0.7597
2,0,0,0,1,0.90629
2,0,0,1,0,0.81301
2,0,1,0,1,1.5459
2,0,1,0,0,1.1861
2,0,0,1,1,0.7731
2,1,1,0,1,0.45341
2,1,1,0,0,0.58669
2,0,0,1,0,0.71968
2,1,0,0,0,0.63983
2,0,0,0,1,0.67975
2,0,1,0,0,0.59978
2,0,0,0,1,2.0257
2,1,1,0,0,1.5727
2,0,0,1,0,0.71972
2,1,0,0,1,0.87964
2,1,0,0,1,0.89296
2,0,0,1,1,0.58647
2,0,1,0,1,0.8527
2,0,0,1,0,0.69306
2,0,0,1,1,0.54676
2,0,0,1,1,0.55981
2,0,0,1,0,0.77293
2,1,1,0,0,1.3727
2,1,1,0,0,0.51997
2,0,0,0,1,0.50678
2,0,0,1,1,0.65321
2,0,0,1,1,0.33327
2,0,0,1,1,0.54648
2,0,1,0,1,0.46653
2,0,0,1,1,0.54648
2,0,0,1,1,0.63976
2,0,0,1,1,1.1595
2,0,0,1,1,1.5993
2,1,0,0,0,0.62674
2,1,1,0,1,0.96016
2,0,0,0,0,0.45342
2,1,0,0,0,0.946
2,0,0,1,1,0.55988
2,0,0,1,1,0.82633
2,0,0,1,1,0.86633
2,0,0,1,1,0.74626
2,0,0,1,1,0.75968
2,0,0,1,0,0.47979
2,0,0,0,0,0.85298
2,1,0,0,1,1.7325
2,1,0,0,0,0.73305
2,0,0,1,1,0.7597
2,0,0,1,1,0.58646
2,0,0,0,1,0.62644
2,0,0,0,1,1.8124
2,1,0,0,0,0.71982
2,1,1,0,0,0.66642
2,0,0,1,1,1.5593
2,0,0,1,0,0.83967
2,0,0,1,1,0.69307
2,0,0,1,1,0.67974
2,0,0,1,1,0.51989
2,1,1,0,1,0.73305
2,0,0,1,0,0.67975
2,0,1,0,1,0.48011
2,0,0,1,0,0.72006
2,0,0,1,1,0.69275
2,0,0,0,1,0.58663
2,0,0,0,0,0.77273
2,0,0,1,1,0.69307
2,1,0,0,1,0.44008
2,1,1,0,0,0.5867
2,1,0,0,0,0.53316
2,0,0,1,1,0.82634
2,0,0,1,1,0.66641
2,0,1,0,1,0.7064
2,0,0,1,1,1.346
2,0,0,1,1,0.58646
2,0,0,1,0,0.5734
2,1,0,0,0,0.73363
2,0,0,0,0,0.45368
2,0,0,0,1,0.69263
2,0,0,1,0,1.0529
2,0,1,0,0,0.61306
2,0,0,1,1,0.62614
2,1,1,0,1,0.53316
2,0,0,1,1,0.38657
2,0,1,0,1,0.65334
2,0,0,1,0,0.38657
2,0,0,1,1,0.89296
2,0,0,1,1,0.69307
2,1,1,0,1,1.0262
2,1,0,0,0,0.58646
2,0,0,0,1,2.2789
2,0,0,1,1,0.83941
2,0,0,1,1,0.61319
2,0,1,0,1,0.51995
2,0,0,1,1,0.91962
2,1,0,0,0,0.59991
2,1,1,0,0,0.63977
2,1,1,0,0,0.52008
2,0,0,1,1,1.2261
2,0,0,1,1,0.58647
2,1,0,0,0,0.71972
2,0,0,1,1,0.54667
2,0,0,1,1,0.63977
2,0,0,1,1,0.73305
2,0,0,1,0,0.79968
2,0,1,0,0,0.77303
2,0,0,1,1,0.59978
2,1,0,0,0,2.0926
2,0,0,1,0,0.43988
2,0,0,0,1,0.46654
2,1,1,0,0,0.49319
2,0,0,1,1,0.71952
2,1,0,0,0,1.2661
2,0,0,1,0,0.51984
2,0,0,0,1,0.89287
2,0,1,0,1,0.44017
2,0,0,1,1,1.0793
2,0,0,0,1,1.9061
2,1,1,0,0,0.82657
2,0,0,1,1,0.67975
2,0,0,1,0,1.9591
2,0,0,1,0,1.2125
2,1,1,0,0,0.46674
2,0,1,0,1,0.42629
2,1,1,0,1,0.50646
2,0,0,1,1,0.65309
2,1,1,0,0,0.82627
2,0,0,0,1,0.62644
2,0,0,1,1,1.6658
2,0,0,1,1,0.67975
2,1,1,0,1,0.74638
2,0,0,1,1,0.42655
2,0,0,1,1,0.86627
2,0,0,1,1,0.66642
2,1,0,0,0,0.59978
2,1,1,0,0,0.54696
2,0,0,1,1,0.85298
2,1,0,0,0,0.57299
2,0,0,1,0,0.54649
2,0,1,0,1,0.3999
2,1,1,0,1,0.78636
2,0,0,0,1,0.61311
2,1,0,0,1,0.85299
2,0,1,0,1,1.2128
2,0,0,1,1,0.57339
2,0,0,1,1,1.5992
2,0,0,1,1,0.38658
2,0,0,1,1,0.43984
2,0,1,0,1,1.8924
2,1,0,0,1,0.50651
2,0,0,0,0,1.6126
2,0,0,0,1,0.5733
2,1,0,0,0,0.97317
2,0,0,1,1,0.81339
2,1,1,0,0,0.50642
2,1,1,0,0,0.75999
2,0,0,1,1,0.47986
2,1,1,0,1,0.54622
2,0,0,1,0,0.87963
2,0,0,1,1,1.2661
2,0,0,1,1,0.58646
2,0,0,1,1,0.77304
2,1,0,0,0,0.44011
2,1,0,0,1,0.58675
2,0,1,0,0,1.3727
2,0,0,1,1,0.67975
2,0,0,1,1,0.63997
2,0,0,1,1,1.5326
2,0,0,1,1,0.79995
2,1,0,0,0,0.69339
2,0,0,1,1,0.94647
2,0,0,1,1,0.53315
2,1,0,0,1,1.0266
2,1,0,0,0,0.63996
2,1,0,0,0,0.98625
2,0,0,0,0,0.89296
2,0,0,1,1,0.67975
2,1,0,0,0,1.1328
2,0,0,1,1,0.74638
2,0,1,0,1,0.45328
2,0,0,0,1,0.986
2,0,0,1,1,1.2267
2,1,1,0,0,0.98624
2,0,0,1,0,0.89329
2,0,0,1,1,0.67975
